Profile_ID,Matched_Persona,Confidence_Score
6,night_shift,75.0
40,sleep_issues,100.0
41,sleep_issues,50.0
7,health_conscious,50.0
43,health_conscious,25.0
5,health_conscious,50.0
4,sleep_issues,100.0
42,health_conscious,25.0
46,health_conscious,25.0
1,health_conscious,25.0
47,night_shift,75.0
3,health_conscious,50.0
45,health_conscious,100.0
44,health_conscious,75.0
50,night_shift,75.0
2,health_conscious,25.0
37,sleep_issues,50.0
23,health_conscious,75.0
22,health_conscious,25.0
36,health_conscious,25.0
20,health_conscious,25.0
34,sleep_issues,50.0
35,sleep_issues,100.0
21,night_shift,75.0
25,sleep_issues,50.0
31,night_shift,75.0
19,health_conscious,25.0
18,health_conscious,25.0
30,health_conscious,25.0
24,health_conscious,25.0
32,health_conscious,50.0
26,health_conscious,25.0
27,health_conscious,25.0
33,sleep_issues,50.0
16,health_conscious,75.0
17,sleep_issues,100.0
29,night_shift,75.0
15,sleep_issues,50.0
14,sleep_issues,50.0
28,sleep_issues,100.0
10,sleep_issues,50.0
38,health_conscious,25.0
39,sleep_issues,100.0
11,health_conscious,75.0
13,health_conscious,25.0
12,health_conscious,50.0
49,health_conscious,25.0
48,sleep_issues,100.0
9,night_shift,75.0
8,night_shift,75.0
